Hour,TI(AM/PM),Weekday,Day,Month,Electricity(kwh)
9,AM,sat,6,Sep,0.743
5,PM,fri,2,May,0.874
9,AM,,1,Nov,0.369
10,AM,sun,1,Jun,1.037
11,PM,,17,Mar,0.388
2,AM,mon,10,Nov,0.098
8,AM,wed,9,Jul,0.95
11,PM,sun,24,Aug,0.546
9,AM,wed,30,Jul,0.778
6,PM,,20,Jun,2.948
7,PM,,11,Nov,0.705
4,AM,sat,28,Jun,0.486
11,AM,,28,Apr,0.147
9,AM,tue,7,Jan,0.552
2,PM,mon,24,Feb,0.466
11,AM,sun,23,Feb,0.634
2,AM,wed,19,Mar,0.176
11,AM,,6,Jan,1.11
3,AM,,29,Dec,0.196
8,AM,,15,Dec,0.449
4,PM,,26,Nov,0.148
11,AM,mon,9,Jun,0.792
7,PM,tue,13,May,1.44
3,PM,,10,Aug,1.156
7,PM,sat,13,Sep,1.071
7,PM,,6,Sep,1.184
7,PM,fri,5,Dec,2.178
9,AM,,6,May,0.238
12,AM,sun,20,Jul,1.901
10,PM,,2,Nov,0.212
8,PM,,14,Mar,1.408
8,AM,wed,23,Apr,0.112
4,AM,,24,Apr,0.071
7,AM,,3,Jan,1.8
2,AM,tue,3,Jun,0.36
7,AM,,22,Oct,0.47
11,PM,thu,13,Feb,0.618
1,AM,mon,28,Apr,0.058
3,PM,tue,15,Jul,1.066
8,PM,sun,18,May,1.44
8,PM,,27,Jun,2.851
9,PM,sun,9,Mar,0.528
8,PM,,28,Nov,0.864
10,PM,,11,May,0.452
9,PM,,1,Oct,0.425
1,PM,thu,27,Feb,0.437
5,PM,tue,20,May,0.905
6,PM,,2,Jul,3.797
12,PM,,23,Nov,0.284
12,PM,,5,Oct,0.346
7,AM,thu,10,Jul,2.052
8,PM,wed,9,Jul,4.531
8,AM,tue,6,May,0.339
12,AM,,8,Oct,0.189
12,AM,mon,17,Feb,0.367
2,PM,,4,Oct,0.47
11,AM,fri,28,Feb,0.63
6,PM,,3,May,1.224
2,AM,,18,Jul,0.499
2,PM,tue,2,Dec,0.387
7,AM,,5,Aug,0.907
8,PM,,13,Mar,1.216
5,AM,wed,5,Feb,1.201
10,PM,thu,11,Sep,0.399
5,AM,tue,15,Jul,2.534
11,AM,,25,Feb,0.54
7,PM,,23,Sep,1.424
1,PM,,28,May,0.358
5,PM,,14,Sep,0.674
3,PM,sun,9,Mar,0.605
6,AM,,7,Feb,1.181
11,AM,,28,Jan,0.98
4,PM,tue,16,Sep,0.26
10,AM,,23,Feb,0.662
2,AM,,21,Oct,0.107
10,PM,,3,Feb,0.612
4,PM,,19,May,0.314
9,PM,sat,24,May,0.301
8,AM,tue,18,Mar,0.362
10,AM,mon,24,Feb,0.523
12,PM,,12,May,0.376
1,AM,fri,25,Jul,0.509
6,AM,thu,10,Jul,3.11
4,AM,,25,Dec,0.178
5,AM,,27,Oct,0.594
5,AM,wed,2,Apr,0.363
2,PM,,5,Jul,2.15
4,AM,,7,Mar,0.162
5,AM,tue,16,Sep,0.816
7,AM,,8,Nov,0.432
6,AM,,29,Apr,0.364
1,PM,,1,May,0.285
12,AM,,21,Oct,0.176
3,PM,,13,Feb,0.456
6,AM,,8,Nov,0.288
10,AM,thu,16,Oct,0.274
7,PM,,12,Jan,4.248
11,PM,,14,Mar,0.96
5,AM,thu,2,Oct,0.62
2,PM,,9,Feb,0.826
2,PM,,21,May,0.291
4,AM,,15,Oct,0.142
9,PM,,18,Jul,0.893
12,AM,wed,30,Apr,0.092
9,AM,,19,Mar,0.228
5,PM,,8,Jun,1.879
9,AM,,5,Jun,0.454
8,AM,sun,26,Oct,0.85
5,AM,wed,9,Apr,0.284
11,PM,,9,Aug,1.356
6,PM,tue,25,Nov,0.725
12,AM,,28,Feb,0.374
11,PM,sun,9,Nov,0.218
3,PM,sat,25,Jan,2.16
7,PM,sun,27,Jul,4.277
11,PM,,23,Jul,1.404
6,AM,,11,Sep,0.874
2,PM,wed,2,Apr,0.096
4,AM,tue,6,May,0.147
10,AM,,24,Aug,0.619
10,AM,,15,May,0.307
9,PM,,21,Sep,0.433
1,PM,tue,28,Jan,0.72
9,AM,,20,Jan,0.636
2,AM,,30,May,0.174
10,AM,mon,10,Nov,0.193
10,AM,,26,Oct,0.295
3,AM,fri,4,Jul,0.451
8,PM,,21,Sep,1.084
5,PM,fri,20,Jun,2.036
8,PM,,11,Feb,1.882
11,AM,sun,14,Sep,0.353
11,AM,tue,23,Sep,0.357
3,AM,fri,10,Oct,0.139
1,PM,,7,Jan,0.672
8,PM,sun,16,Nov,0.867
1,PM,sun,20,Jul,1.57
5,PM,,9,May,0.998
5,AM,sun,25,May,0.288
2,AM,,12,Jan,0.582
9,PM,mon,9,Jun,1.102
1,PM,,26,Sep,0.235
8,AM,fri,5,Dec,0.427
9,PM,wed,19,Mar,0.49
2,AM,,6,Mar,0.19
7,PM,,24,Feb,2.484
5,PM,thu,7,Aug,1.326
4,AM,,4,Jul,0.446
8,AM,tue,16,Dec,0.392
8,AM,sat,28,Jun,2.457
1,AM,,1,Dec,0.198
2,AM,mon,17,Feb,0.242
7,PM,,28,Apr,0.648
12,AM,mon,14,Jul,0.749
1,PM,sun,26,Oct,0.32
7,PM,,25,Sep,1.109
6,PM,mon,28,Apr,0.479
8,AM,,17,Apr,0.138
7,AM,,12,Feb,1.253
10,AM,thu,3,Apr,0.103
4,AM,tue,17,Jun,0.432
5,PM,,19,Apr,0.284
11,AM,,11,Apr,0.173
3,AM,fri,21,Nov,0.086
2,PM,wed,2,Jul,0.874
8,PM,,22,Dec,1.813
9,AM,tue,5,Aug,0.364
11,PM,,27,Apr,0.141
4,AM,,25,Jul,0.557
6,PM,sun,13,Jul,4.838
3,AM,tue,20,May,0.176
3,PM,fri,23,May,0.278
4,PM,,5,Jul,2.03
10,AM,sun,28,Dec,0.614
1,AM,thu,30,Oct,0.122
3,AM,,14,Aug,0.286
6,AM,,8,Feb,1.046
7,AM,,21,Dec,1.214
1,AM,,12,Jan,0.558
12,PM,sun,14,Sep,0.336
6,PM,,2,Apr,0.349
11,AM,sun,11,May,0.47
6,PM,sun,20,Apr,0.535
5,AM,thu,27,Nov,0.411
8,AM,,6,Jun,0.648
5,PM,fri,16,May,1.134
3,PM,wed,3,Sep,0.277
10,AM,mon,30,Jun,0.72
3,PM,,20,Apr,0.248
6,PM,,26,Jul,4.277
1,PM,mon,16,Jun,0.835
4,AM,sat,23,Aug,0.403
3,AM,,11,Nov,0.09
6,AM,,11,Oct,0.48
8,AM,,5,Jul,3.401
4,AM,sun,26,Jan,0.666
5,AM,mon,1,Dec,1.428
8,PM,sun,25,May,1.166
11,AM,,6,May,0.34
6,AM,,6,Jan,2.472
7,PM,thu,18,Sep,1.159
12,PM,wed,9,Apr,0.17
4,PM,,22,Jun,1.539
7,PM,thu,11,Dec,2.059
3,PM,tue,17,Jun,0.77
12,PM,fri,14,Mar,0.34
4,AM,sun,14,Sep,0.239
9,PM,,3,Dec,0.785
9,PM,thu,27,Nov,0.292
4,PM,mon,17,Feb,0.394
1,PM,thu,24,Apr,0.096
4,PM,,29,May,0.301
8,AM,tue,5,Aug,0.48
1,AM,,4,Sep,0.147
6,AM,,19,Sep,0.924
1,PM,,6,Jan,0.936
5,AM,sat,15,Nov,0.15
8,AM,sun,8,Jun,2.668
7,PM,,19,Feb,2.203
6,PM,tue,13,May,0.974
10,PM,,18,Nov,0.239
1,AM,sat,23,Aug,0.342
7,PM,sun,6,Jul,4.45
9,AM,,9,Jan,0.708
5,PM,,3,Feb,1.42
9,AM,sat,11,Jan,1.53
10,AM,,3,Oct,0.245
3,PM,,19,Oct,0.459
3,PM,wed,18,Jun,0.792
6,AM,wed,2,Jul,3.053
11,AM,,7,Jul,1.392
5,PM,,28,Jul,3.151
5,AM,,4,Mar,0.818
8,PM,fri,24,Oct,0.979
6,PM,,28,Nov,0.599
4,PM,,24,Jun,0.59
1,PM,thu,6,Feb,0.518
5,AM,thu,8,May,0.739
8,AM,thu,25,Dec,0.484
8,AM,fri,12,Sep,0.302
1,PM,thu,17,Apr,0.13
10,PM,,5,Feb,0.51
1,PM,mon,28,Apr,0.112
2,AM,,3,Feb,0.252
12,AM,,20,Jun,0.432
2,AM,tue,25,Mar,0.152
12,PM,fri,28,Mar,0.388
12,AM,wed,25,Jun,0.599
3,AM,wed,20,Aug,0.202
3,PM,sun,8,Jun,1.766
9,AM,fri,7,Mar,0.286
11,PM,mon,7,Jul,1.032
12,PM,,18,Jun,1.071
10,PM,,10,Aug,0.552
8,AM,wed,5,Nov,0.2
3,AM,,6,Dec,0.383
10,PM,,6,Nov,0.236
10,PM,,7,Aug,0.642
12,AM,fri,31,Jan,0.708
4,AM,,29,Jul,0.542
4,AM,fri,7,Nov,0.077
8,PM,fri,9,May,1.395
11,PM,tue,7,Jan,0.84
2,PM,mon,13,Oct,0.257
7,PM,sun,3,Aug,1.879
4,AM,mon,2,Jun,0.389
2,PM,,3,Dec,0.352
1,AM,,9,Jun,0.407
7,PM,sat,15,Nov,0.948
11,AM,thu,11,Dec,0.644
6,PM,,26,Mar,0.952
2,PM,sun,30,Mar,0.73
10,AM,,14,Jun,1.274
3,PM,,27,Dec,1.148
10,AM,,19,May,0.381
12,PM,,27,Jul,1.627
4,PM,,26,Jul,2.57
8,AM,,31,Jul,0.893
5,AM,tue,3,Jun,1.663
8,PM,wed,8,Oct,1.094
5,AM,tue,9,Dec,1.077
5,AM,,10,May,0.281
6,AM,,8,Dec,1.32
11,PM,thu,20,Feb,0.72
5,PM,,6,Jul,1.944
7,PM,,19,Nov,0.907
1,AM,mon,13,Oct,0.101
8,PM,mon,21,Jul,3.955
9,PM,thu,25,Dec,0.713
12,PM,mon,15,Sep,0.336
6,AM,,14,Jun,1.555
10,PM,tue,3,Jun,0.954
10,PM,,22,Apr,0.137
10,PM,sun,19,Oct,0.291
2,PM,,23,Jul,0.941
2,AM,tue,15,Apr,0.057
4,AM,,8,Aug,0.252
8,AM,wed,16,Jul,1.094
9,PM,,3,May,0.323
9,PM,,9,May,0.333
8,AM,sun,7,Dec,1.373
1,AM,,6,Aug,0.25
9,AM,,16,May,0.25
5,AM,fri,21,Feb,1.399
4,PM,mon,30,Jun,0.634
2,AM,,3,Apr,0.059
8,AM,,28,Oct,0.262
10,PM,thu,21,Aug,0.51
9,AM,,28,Mar,0.286
4,AM,thu,11,Dec,0.213
4,AM,,29,Oct,0.124
9,PM,sun,13,Jul,1.152
1,PM,,1,Apr,0.115
6,PM,thu,13,Nov,0.68
12,PM,,14,Jul,1.32
12,PM,fri,18,Apr,0.159
1,PM,mon,14,Apr,0.096
2,PM,wed,27,Aug,0.427
7,PM,,3,Apr,0.481
3,PM,thu,7,Aug,0.533
5,AM,,13,Apr,0.074
10,PM,,22,Feb,0.494
12,PM,wed,1,Oct,0.255
2,PM,tue,4,Feb,0.384
9,AM,thu,2,Oct,0.182
3,AM,sun,8,Jun,0.632
2,PM,,31,Oct,0.257
4,AM,sat,15,Nov,0.146
10,AM,fri,24,Jan,0.704
12,PM,,6,Jun,0.828
8,PM,tue,21,Jan,3.232
9,AM,fri,5,Dec,0.373
5,PM,,8,Aug,1.607
10,PM,wed,22,Jan,0.8
5,AM,,15,Mar,0.228
2,PM,sat,20,Sep,0.599
10,AM,,31,Mar,0.365
8,AM,,28,Sep,1.037
1,PM,,13,Apr,0.151
9,PM,,8,Jan,1.428
1,PM,sun,7,Sep,0.34
5,AM,mon,7,Apr,0.264
4,PM,,14,Mar,0.269
7,PM,wed,27,Aug,2.57
10,AM,fri,17,Oct,0.252
3,PM,sat,1,Nov,0.381
3,PM,sun,5,Oct,0.481
11,AM,thu,30,Jan,0.93
8,PM,,30,Mar,1.67
4,AM,,9,Sep,0.123
11,PM,wed,28,May,0.404
7,PM,,7,Dec,2.039
10,PM,fri,15,Aug,0.983
4,PM,,19,Nov,0.146
3,PM,,6,Nov,0.189
1,AM,fri,13,Jun,0.346
9,AM,,21,Apr,0.107
7,AM,tue,15,Jul,2.592
4,AM,mon,3,Nov,0.078
2,PM,,26,Nov,0.2
6,PM,mon,14,Apr,0.403
5,AM,sun,15,Jun,0.583
3,AM,sun,30,Nov,0.123
4,PM,,15,Feb,0.886
6,AM,fri,11,Apr,0.346
7,AM,wed,6,Aug,0.918
7,AM,,6,Jul,3.168
12,AM,,7,Aug,0.364
4,PM,sun,30,Mar,0.59
8,PM,tue,10,Jun,2.88
3,AM,,13,Dec,0.327
7,PM,thu,6,Mar,1.382
2,PM,sun,2,Mar,0.576
12,AM,,17,May,0.614
4,PM,tue,25,Nov,0.212
4,AM,,1,Nov,0.116
12,PM,,13,Dec,0.554
4,AM,sun,9,Nov,0.132
2,AM,thu,13,Feb,0.254
3,AM,mon,28,Apr,0.049
6,AM,fri,10,Jan,2.472
6,PM,,28,Jun,3.596
8,AM,,6,Nov,0.185
1,PM,fri,14,Feb,0.48
7,PM,,3,Mar,1.238
5,AM,,7,Feb,1.056
2,AM,mon,3,Mar,0.134
11,PM,,16,Jan,1.09
7,AM,,5,Dec,1.079
6,PM,thu,6,Feb,1.378
5,AM,,21,Mar,0.801
5,PM,,3,May,0.648
7,PM,,19,Oct,1.242
11,AM,,7,Aug,0.57
8,AM,,20,Dec,1.244
10,AM,tue,1,Jul,0.778
7,PM,sat,10,May,1.714
3,AM,sat,1,Mar,0.23
12,AM,tue,1,Jul,0.857
1,PM,fri,12,Dec,0.378
1,PM,,9,Jan,0.792
9,AM,,6,Jan,0.504
6,AM,,30,Sep,0.966
4,PM,,15,May,0.262
2,AM,tue,20,May,0.144
4,AM,,10,May,0.259
1,AM,,5,Jul,0.857
10,AM,,15,Dec,0.48
9,PM,,19,Apr,0.124
2,PM,,17,Mar,0.339
4,AM,fri,18,Apr,0.048
3,AM,sun,1,Jun,0.583
10,AM,,9,May,0.358
1,AM,fri,9,May,0.17
3,AM,sun,21,Sep,0.208
7,AM,thu,12,Jun,1.539
5,AM,tue,6,May,1.003
6,AM,mon,19,May,0.806
2,AM,wed,5,Mar,0.189
6,AM,,19,Mar,0.768
12,AM,fri,18,Apr,0.078
7,AM,fri,21,Mar,0.85
9,AM,wed,15,Jan,0.534
6,AM,sat,4,Oct,0.432
12,PM,,19,Nov,0.23
2,AM,,15,Jul,0.456
7,PM,sat,19,Apr,0.481
2,AM,fri,12,Sep,0.153
11,PM,,22,Jun,0.801
8,PM,,25,Jan,2.88
7,AM,fri,14,Feb,1.134
1,AM,,10,Jan,0.424
2,PM,,16,Nov,0.378
11,PM,,24,Jul,0.96
1,AM,,3,Dec,0.185
8,PM,,31,May,1.44
9,PM,fri,14,Nov,0.148
8,AM,,26,Sep,0.277
5,PM,,16,Jan,2.73
7,AM,sat,5,Jul,3.37
5,PM,wed,23,Apr,0.406
4,PM,tue,29,Apr,0.106
9,PM,,27,May,0.485
9,PM,,17,Oct,0.271
12,AM,thu,30,Jan,0.696
10,AM,,24,Mar,0.294
9,AM,,27,Nov,0.117
12,PM,,17,Jan,1.1
11,PM,,19,Apr,0.273
8,PM,,7,Feb,1.997
10,AM,,7,Jun,1.188
11,PM,wed,8,Jan,0.81
11,AM,wed,3,Sep,0.403
6,PM,thu,27,Feb,1.932
5,PM,fri,26,Dec,1.187
6,AM,,15,Apr,0.353
11,PM,,2,Mar,0.384
10,AM,,29,Apr,0.142
8,AM,,4,Oct,0.819
5,PM,wed,2,Jul,2.87
4,PM,wed,27,Aug,0.494
6,PM,,14,Feb,1.747
8,AM,,27,Jun,0.785
4,PM,fri,28,Feb,0.538
4,PM,mon,7,Apr,0.132
7,AM,fri,19,Sep,0.58
12,PM,,23,Oct,0.282
2,PM,,22,Mar,0.576
5,PM,fri,7,Mar,0.998
12,PM,,16,Apr,0.15
2,AM,sun,23,Nov,0.12
3,AM,,13,Feb,0.288
2,PM,thu,23,Jan,0.808
4,AM,,1,Apr,0.053
1,PM,,19,Jun,0.835
10,PM,,31,Jan,1.442
8,PM,fri,15,Aug,2.131
6,AM,,2,Mar,0.544
3,PM,sat,4,Oct,0.481
2,PM,wed,24,Dec,0.484
11,AM,thu,8,May,0.332
8,PM,mon,27,Oct,0.883
5,PM,sun,7,Dec,1.02
6,PM,sat,17,May,1.224
10,PM,,9,Feb,0.648
11,AM,,7,Nov,0.196
12,PM,,21,Feb,0.498
9,PM,wed,9,Apr,0.157
9,AM,mon,26,May,0.204
4,AM,thu,20,Nov,0.08
6,PM,,9,Jul,3.058
4,AM,fri,26,Dec,0.191
3,AM,wed,29,Oct,0.142
9,PM,wed,13,Aug,0.85
12,AM,thu,13,Feb,0.36
9,PM,,3,Feb,0.828
9,AM,,30,Jan,0.552
12,PM,sun,3,Aug,0.698
4,PM,,23,Apr,0.132
2,PM,,14,Mar,0.32
7,AM,fri,17,Jan,1.494
5,AM,sun,28,Sep,0.242
4,PM,sat,9,Aug,1.145
2,PM,mon,14,Apr,0.102
1,AM,fri,5,Sep,0.136
9,PM,,9,Nov,0.308
10,AM,,29,May,0.298
7,PM,,1,Oct,1.026
5,PM,sat,8,Mar,0.734
9,AM,wed,17,Sep,0.214
8,AM,mon,17,Feb,0.542
9,PM,sun,11,May,0.518
7,PM,wed,21,May,1.598
1,PM,fri,18,Apr,0.103
10,AM,,9,Apr,0.114
8,PM,,19,Mar,1.357
9,PM,,21,Aug,0.605
1,PM,,15,Jul,0.941
6,AM,wed,16,Apr,0.324
9,PM,sun,26,Jan,1.116
8,PM,,16,Jun,2.592
12,PM,sun,29,Jun,1.123
1,AM,sat,11,Oct,0.164
1,PM,,27,May,0.342
8,PM,sat,12,Apr,0.572
3,AM,thu,19,Jun,0.421
10,PM,,2,Jan,0.9
10,PM,sun,2,Mar,0.476
7,AM,,21,Oct,0.486
7,PM,thu,28,Aug,2.419
4,PM,fri,11,Apr,0.132
11,AM,,7,Oct,0.345
1,AM,wed,5,Mar,0.144
5,AM,thu,24,Jul,2.482
10,AM,wed,9,Jul,1.018
